#Time         CO2
1958.208    315.71
1958.292    317.45
1958.375    317.50
1958.458    317.11
1958.542    315.86
1958.625    314.93
1958.708    313.20
1958.792    312.61
1958.875    313.33
1958.958    314.67
1959.042    315.62
1959.125    316.38
1959.208    316.71
1959.292    317.72
1959.375    318.29
1959.458    318.16
1959.542    316.55
1959.625    314.80
1959.708    313.84
1959.792    313.26
1959.875    314.80
1959.958    315.59
1960.042    316.43
1960.125    316.97
1960.208    317.58
1960.292    319.02
1960.375    320.02
1960.458    319.59
1960.542    318.18
1960.625    315.91
1960.708    314.16
1960.792    313.83
1960.875    315.00
1960.958    316.19
1961.042    316.93
1961.125    317.70
1961.208    318.54
1961.292    319.48
1961.375    320.58
1961.458    319.77
1961.542    318.58
1961.625    316.79
1961.708    314.80
1961.792    315.38
1961.875    316.10
1961.958    317.01
1962.042    317.94
1962.125    318.55
1962.208    319.68
1962.292    320.63
1962.375    321.01
1962.458    320.55
1962.542    319.58
1962.625    317.40
1962.708    316.26
1962.792    315.42
1962.875    316.69
1962.958    317.70
1963.042    318.74
1963.125    319.08
1963.208    319.86
1963.292    321.39
1963.375    322.24
1963.458    321.47
1963.542    319.74
1963.625    317.77
1963.708    316.21
1963.792    315.99
1963.875    317.12
1963.958    318.31
1964.042    319.57
1964.125    320.11
1964.208    320.76
1964.292    321.79
1964.375    322.24
1964.458    321.89
1964.542    320.44
1964.625    318.70
1964.708    316.70
1964.792    316.79
1964.875    317.79
1964.958    318.71
1965.042    319.44
1965.125    320.44
1965.208    320.89
1965.292    322.13
1965.375    322.16
1965.458    321.87
1965.542    321.39
1965.625    318.80
1965.708    317.81
1965.792    317.30
1965.875    318.87
1965.958    319.42
1966.042    320.62
1966.125    321.59
1966.208    322.39
1966.292    323.87
1966.375    324.01
1966.458    323.75
1966.542    322.40
1966.625    320.37
1966.708    318.64
1966.792    318.10
1966.875    319.78
1966.958    321.08
1967.042    322.06
1967.125    322.50
1967.208    323.04
1967.292    324.42
1967.375    325.00
1967.458    324.09
1967.542    322.55
1967.625    320.92
1967.708    319.31
1967.792    319.31
1967.875    320.72
1967.958    321.96
1968.042    322.57
1968.125    323.15
1968.208    323.89
1968.292    325.02
1968.375    325.57
1968.458    325.36
1968.542    324.14
1968.625    322.03
1968.708    320.41
1968.792    320.25
1968.875    321.31
1968.958    322.84
1969.042    324.00
1969.125    324.42
1969.208    325.64
1969.292    326.66
1969.375    327.34
1969.458    326.76
1969.542    325.88
1969.625    323.67
1969.708    322.38
1969.792    321.78
1969.875    322.85
1969.958    324.12
1970.042    325.03
1970.125    325.99
1970.208    326.87
1970.292    328.14
1970.375    328.07
1970.458    327.66
1970.542    326.35
1970.625    324.69
1970.708    323.10
1970.792    323.16
1970.875    323.98
1970.958    325.13
1971.042    326.17
1971.125    326.68
1971.208    327.18
1971.292    327.78
1971.375    328.92
1971.458    328.57
1971.542    327.34
1971.625    325.46
1971.708    323.36
1971.792    323.56
1971.875    324.80
1971.958    326.01
1972.042    326.77
1972.125    327.63
1972.208    327.75
1972.292    329.72
1972.375    330.07
1972.458    329.09
1972.542    328.05
1972.625    326.32
1972.708    324.93
1972.792    325.06
1972.875    326.50
1972.958    327.55
1973.042    328.55
1973.125    329.56
1973.208    330.30
1973.292    331.50
1973.375    332.48
1973.458    332.07
1973.542    330.87
1973.625    329.31
1973.708    327.51
1973.792    327.18
1973.875    328.16
1973.958    328.64
1974.042    329.35
1974.125    330.71
1974.208    331.48
1974.292    332.65
1974.375    333.15
1974.458    332.13
1974.542    330.99
1974.625    329.17
1974.708    327.41
1974.792    327.21
1974.875    328.34
1974.958    329.50
1975.042    330.68
1975.125    331.41
1975.208    331.85
1975.292    333.29
1975.375    333.91
1975.458    333.40
1975.542    331.74
1975.625    329.88
1975.708    328.57
1975.792    328.35
1975.875    329.33
1975.958    330.55
1976.042    331.66
1976.125    332.75
1976.208    333.46
1976.292    334.78
1976.375    334.79
1976.458    334.05
1976.542    332.95
1976.625    330.64
1976.708    328.96
1976.792    328.77
1976.875    330.18
1976.958    331.65
1977.042    332.69
1977.125    333.23
1977.208    334.97
1977.292    336.03
1977.375    336.82
1977.458    336.10
1977.542    334.79
1977.625    332.53
1977.708    331.19
1977.792    331.21
1977.875    332.35
1977.958    333.47
1978.042    335.09
1978.125    335.26
1978.208    336.62
1978.292    337.77
1978.375    338.00
1978.458    337.98
1978.542    336.48
1978.625    334.37
1978.708    332.33
1978.792    332.40
1978.875    333.76
1978.958    334.83
1979.042    336.21
1979.125    336.64
1979.208    338.13
